multigoal,Freq
LEARNMORE PRIMARY_PERSUADE,221079
GOTV LEARNMORE PRIMARY_PERSUADE,11629
GOTV PRIMARY_PERSUADE,4081
GATHERINFO LEARNMORE,501
PURCHASE LEARNMORE PRIMARY_PERSUADE,324
GATHERINFO LEARNMORE PRIMARY_PERSUADE,322
PURCHASE LEARNMORE,287
GATHERINFO PRIMARY_PERSUADE,254
EVENT LEARNMORE PRIMARY_PERSUADE,175
POLL LEARNMORE PRIMARY_PERSUADE,163
POLL PRIMARY_PERSUADE,148
DONATE EVENT,147
GOTV LEARNMORE,146
EVENT PRIMARY_PERSUADE,86
DONATE POLL,84
DONATE GATHERINFO,74
PURCHASE PRIMARY_PERSUADE,65
CONTACT LEARNMORE PRIMARY_PERSUADE,52
DONATE PRIMARY_PERSUADE,42
POLL LEARNMORE,35
DONATE PURCHASE,34
DONATE GOTV,12
DONATE LEARNMORE,9
EVENT LEARNMORE,9
POLL GATHERINFO,6
GOTV GATHERINFO LEARNMORE PRIMARY_PERSUADE,3
GOTV EVENT PRIMARY_PERSUADE,2
DONATE LEARNMORE PRIMARY_PERSUADE,1
GOTV EVENT,1
GOTV EVENT LEARNMORE PRIMARY_PERSUADE,1
GOTV GATHERINFO,1
GOTV GATHERINFO PRIMARY_PERSUADE,1
PURCHASE EVENT,1
