creative,goal_DONATE_prediction,goal_DONATE_predicted_prob,goal_CONTACT_prediction,goal_CONTACT_predicted_prob,goal_PURCHASE_prediction,goal_PURCHASE_predicted_prob,goal_GOTV_prediction,goal_GOTV_predicted_prob,goal_EVENT_prediction,goal_EVENT_predicted_prob,goal_POLL_prediction,goal_POLL_predicted_prob,goal_GATHERINFO_prediction,goal_GATHERINFO_predicted_prob,goal_LEARNMORE_prediction,goal_LEARNMORE_predicted_prob,goal_PRIMARY_PERSUADE_prediction,goal_PRIMARY_PERSUADE_predicted_prob,goal_highest_prob
HOUSE/AK01 CLF CAN'T HIDE AGENDA ANY LONGER,0,0.004731214865678855,0,0.006964235923122451,0,0.0076763651795195165,0,0.17054843975411013,0,0.0035498532974840534,0,0.00741490257883061,0,0.023648847413081917,1,0.7411316605751348,1,0.859175985306077,PRIMARY_PERSUADE
HOUSE/AK01 CLF FUNDED BY EXTREMISTS,0,0.004498659088949904,0,0.0072453471240216515,0,0.010444824840925144,0,0.06870334109465931,0,0.003090529947090163,0,0.009118960746329214,0,0.016993903058332475,1,0.8255336047893778,1,0.8809309663182059,PRIMARY_PERSUADE
HOUSE/AK01 CLF LIBERAL AGENDA,0,0.0029328538776794404,0,0.006690441393545001,0,0.0064072778665923355,0,0.029916753730278082,0,0.003090529947090163,0,0.0066035754884745616,0,0.016879305073504217,1,0.8982463887203896,1,0.951300052252531,PRIMARY_PERSUADE
HOUSE/AK01 DCCC SHRINKING,0,0.0072986329971794495,0,0.017151454303560514,0,0.005935060714579822,0,0.04471804415013851,0,0.005058051557130656,0,0.026260470873837094,0,0.022962977061614494,1,0.7609847918248906,1,0.8683277397909909,PRIMARY_PERSUADE
HOUSE/AK01 DCCC THE ROAD HAS BEEN LONG,0,0.0036195612988632678,0,0.006690441393545001,0,0.006585991551861594,0,0.042023308887119463,0,0.009779962127680047,0,0.008318848781542336,0,0.03773673505217824,1,0.7511940517678297,1,0.869934234241085,PRIMARY_PERSUADE
HOUSE/AK01 GALVIN BRINGING ALASKANS TOGETHER,0,0.014660763905839497,0,0.009020562188875354,0,0.00844564785415598,0,0.041350179838960346,0,0.004087273035203251,0,0.026513910754430464,0,0.019553746556439683,0,0.49757336243122396,1,0.6249297521680282,PRIMARY_PERSUADE
HOUSE/AK01 GALVIN HARD WORK,0,0.0036842835289606257,0,0.007819299800594596,0,0.006652532904637864,0,0.02362248896217116,0,0.003826872513227323,0,0.004963789812999744,0,0.019413198144011795,1,0.8712451572989581,1,0.9341491574190981,PRIMARY_PERSUADE
HOUSE/AK01 GALVIN IS HE REALLY,0,0.01873985424244424,0,0.008170219112131562,0,0.011651793915965606,0,0.05225459287862491,0,0.005439898752566163,0,0.00987276066747103,0,0.022833985809799257,1,0.6160721883476652,1,0.7453108322099076,PRIMARY_PERSUADE
HOUSE/AK01 GALVIN MARTY RUTHERFORD,0,0.00681885796800627,0,0.011679447246669354,0,0.007342170184570548,0,0.029373661669567463,0,0.005058051557130656,0,0.007848848464639346,0,0.023546809794541754,1,0.7523411793889132,1,0.8182903721690444,PRIMARY_PERSUADE
HOUSE/AK01 GALVIN PHIL MORROW,0,0.030595847165720835,0,0.009776965617680464,0,0.006302329084685953,0,0.032304401617619716,0,0.0036558147788405744,0,0.011225032650731668,0,0.02626872868979667,0,0.4443091651200771,1,0.6683254782989649,PRIMARY_PERSUADE
HOUSE/AK01 GALVIN TIRED ATTACKS,0,0.004088802320117122,0,0.007867370368620842,0,0.005935060714579822,0,0.022628354250620222,0,0.0032564479087774066,0,0.011924073731516412,0,0.01939258324707243,1,0.8264535005264622,1,0.8782720599074942,PRIMARY_PERSUADE
HOUSE/AK01 GALVIN TRIPS,0,0.0056444578477179465,0,0.006690441393545001,0,0.0072921855660034104,0,0.03223572410982814,0,0.003899971785008042,0,0.012900607256435576,0,0.020985608903688523,1,0.5890872123361314,1,0.8125402482357991,PRIMARY_PERSUADE
HOUSE/AK01 GALVIN&DCCC TRIPS,0,0.005936500133454288,0,0.006690441393545001,0,0.007741694489292916,0,0.02718105026817523,0,0.003899971785008042,0,0.012900607256435576,0,0.020985608903688523,1,0.5562846184533612,1,0.7949765427718233,PRIMARY_PERSUADE
HOUSE/AK01 HOUSEMAJPAC A LONG TIME,0,0.00452090151979248,0,0.007952035903522173,0,0.009749049708286366,0,0.05909712854892664,0,0.003090529947090163,0,0.0060432013882155185,0,0.02430717120686427,1,0.802108903493727,1,0.9041823985451786,PRIMARY_PERSUADE
HOUSE/AK01 YOUNG ENDORSEMENT,0,0.008031299293656329,0,0.011276985248014395,0,0.006277962735343649,0,0.046818493173649674,0,0.006333117275403924,0,0.005397590386261403,0,0.02148891865793351,1,0.7130845281359153,1,0.8915687139357495,PRIMARY_PERSUADE
HOUSE/AK01 YOUNG MISLEADING VOTERS,0,0.008133537017574003,0,0.00890219688237615,0,0.0076763651795195165,0,0.03888215967573304,0,0.003090529947090163,0,0.016221261660349193,0,0.017971444377334646,1,0.611783374655209,1,0.7776619652084109,PRIMARY_PERSUADE
HOUSE/AK01 YOUNG NOT ABOUT DON,0,0.006710094432691962,0,0.00890219688237615,0,0.007541059616089441,0,0.05815916820617182,0,0.005526052758368845,0,0.027099871050547536,0,0.02240695216785691,1,0.7563534059340602,1,0.8942582553565936,PRIMARY_PERSUADE
HOUSE/AK01 YOUNG ONLY ONE,0,0.009220003475864182,0,0.007600638597791948,0,0.006116729754669726,0,0.03642970589899301,0,0.007251182158595323,0,0.007356619882248347,0,0.01934064674476779,1,0.6544600135742027,1,0.7554918902905307,PRIMARY_PERSUADE
HOUSE/AK01 YOUNG WHATS SHE HIDING,0,0.005664400251803868,0,0.008478539294814031,0,0.019601040240132962,0,0.02739760390328136,0,0.005058051557130656,0,0.013328092939161594,0,0.01972945449851283,1,0.7062351256764965,1,0.7938581910180754,PRIMARY_PERSUADE
HOUSE/AK01 YOUNG&AKRP ENDORSEMENT,0,0.007359272338864187,0,0.011601099499848458,0,0.0060143903866584515,0,0.046818493173649674,0,0.005863431696300674,0,0.005100016856183999,0,0.018178181403947814,1,0.7568636420170806,1,0.9138158203100177,PRIMARY_PERSUADE
HOUSE/AK01 YOUNG&AKRP SPENDING MILLIONS,0,0.005115963567551597,0,0.00732534747455952,0,0.007004211465522395,0,0.022908816273236033,0,0.0033056962913165858,0,0.0076838362882239945,0,0.023845301653709683,1,0.8093092940293962,1,0.8699867208340352,PRIMARY_PERSUADE
HOUSE/AL01 AVERHART MAN OF THE PEOPLE,0,0.003943112944293968,0,0.033670279102775834,0,0.006840023130027827,0,0.02825993830759612,0,0.003090529947090163,0,0.016415275389708443,0,0.015238491900501453,1,0.7838512356610492,1,0.929339547701195,PRIMARY_PERSUADE
HOUSE/AL01 CARL LOST THEIR MIND,0,0.005612621014532506,0,0.007274401337954921,0,0.005414847373833284,0,0.023764046974219043,0,0.028902143707493538,0,0.006530316690445659,0,0.026314971327504294,1,0.571699977320075,1,0.7862936314810464,PRIMARY_PERSUADE
HOUSE/AL02 HARVEY-HALL MAKE THE RIGHT INVESTMENTS,0,0.0054876986169748575,0,0.007001233222725457,0,0.010536422997482033,0,0.041788787837337485,0,0.004339194737054024,0,0.010817773990601211,0,0.10469425653615282,1,0.5481977410584884,1,0.6881654145743967,PRIMARY_PERSUADE
