ad_id,text,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE
x_787062738797163,Candie Sweetser has voted twice for Santa Fe progressive Brian Egolf and his radical agenda. We deserve someone who will vote for a more conservative Speaker of the House with a reasonable agenda. Vote NO on Candie Sweetser.,0,0,0,0,0,0,0,0,1
x_1185448265184423,"Coming from humble beginnings shaped Sam Edney into who he is today: honest, hardworking, and in touch with the community. Sam Edney is ready to work hard for everyone.",0,0,0,0,0,0,0,1,1
x_457699125192216,"If he wins Donald Trump will take away our rights, our environment, and our future. SwipeBlue is the easiest, fastest way to make sure all your Democratic friends vote. All you need is your phone. Ready?",0,0,0,1,0,0,0,0,0
x_343426530093140,New Mexico’s economic recovery is dependent on our mining industry. That’s why it’s so important that we elect Candie Sweetser. She’s committed to the responsible use of our lands and natural resources.,0,0,0,0,0,0,0,1,1
x_2998487527041740,Donald Trump wants to replace Ruth Bader Ginsburg with another Supreme Court Justice threatening coverage for pre-existing conditions and reproductive freedom. We can't let it happen. Not now. Not ever.,0,0,0,0,0,0,0,1,1
x_1330755907283256,We need to prevent the reelection of Donald Trump in the 2020 presidential election. MAKE AMERICA KIND AGAIN!,0,0,0,0,0,0,0,1,0
x_1028559840915884,"👩🏻‍🏫 Attorney. 👊🏽 Advocate. 🏃🏻‍♀️Named one of the Best Legislators by Texas Monthly.   🤝 Working to secure COVID-19 resources for Families & Small Businesses  👩🏼‍🎓 Secured MILLIONS in NEW funding for Garland, Mesquite, & Dallas ISD schools  ✍🏼 Passed historic legislation, the Lavinia Masters Act, with an unprecedented $50 MILLION to tackle the backlog of thousands of untested rape kits in Texas.   👊🏽 Fighting for justice for survivors of Domestic Violence & Sexual Assault  Learn more at VictoriaforTexas.com",0,0,0,0,0,0,0,1,1
x_1002640346826161,"Our health care is on the ballot - Trump would eliminate protections for pre-existing conditions, even during a pandemic.",0,0,0,0,0,0,0,1,1
x_817915525688984,The radical left wants to turn Kentucky into California. In times like these we MUST elect candidates like Scott Sharp who will support President Trump and fight back against the far-left’s socialist policies. Vote Scott Sharp for House District 100 on or before November 3rd.,0,0,0,0,0,0,0,1,0
x_2826313067657657,"Chris Sununu calls himself ""a Trump guy, through and through,"" and the similarities go beyond words. Just like Trump, Sununu has filled our state's highest court with conservative justices, and now is holding the Chief Justice seat open for a conservative, anti-choice activist. And this is just his latest attack on reproductive rights.  If we're going to protect reproductive rights, we need to defeat Sununu and Trump this November. Contribute $5 or more right away >> https://bit.ly/3jyvIln",1,0,0,0,0,0,0,0,0
x_1825561840929882,"This is the most important election of our lifetime.   We've had to deal with this pandemic with a completely incompetent administration. We need a capable government that believes in science, data, and public health. And when we get to the other side of this, we'll need everything we've learned to move quickly to address climate change.  That's why we need to vote. If you haven't voted yet, make your plan to vote here: iwillvote.com/ME",0,0,0,1,0,0,0,1,1
x_2526912250941001,"Democrats need your help to undo the damage of the Trump presidency and restore Obama’s legacy.  We’re surveying grassroots Democrats -- and you’ve been selected to participate!  As a Top Democrat, we want to know what you think Democrats’ priorities should be! Please, take two minutes and be brutally honest >>",0,0,0,0,0,1,0,0,0
x_1177197195996904,"BREAKING: Trump's EPA just announced it's putting a bee-killing pesticide back on the market. Sulfoxaflor was banned in 2015, and scientists have linked it to colony collapse disorder.  Honey bees and other pollinators are dying in greater numbers than ever before. We're at a crisis point. Take action now: https://sc.org/32ZWk7c",0,0,0,0,0,0,1,0,0
